German,English
ich ,I
sie ,she
das ,the
ist ,is
nicht ,not
die ,the
es ,it
und ,and
der ,the
wir ,we
was ,What
zu ,to
er ,he
ein ,a
ja ,Yes
mir ,me
mit ,with
den ,the
mich ,me
auf ,on
dass ,that
aber ,but
so ,so
hat ,has
hier ,here
haben ,have
für ,for
sind ,are
war ,was
von ,from
wenn ,if
dich ,you
ihr ,her
nein ,no
an ,at
bin ,am
noch ,still
da ,there
dir ,you
einen ,a
uns ,us
dem ,the
gut ,good
auch ,also
schon ,already
als ,as
sein ,be
mal ,just
jetzt ,now
ihn ,him
dann ,then
aus ,out of
meine ,mine
um ,around
im ,in the
mein ,my
