German,English
ich ,I
sie ,she
das ,the
ist ,is
du ,you
nicht ,not
die ,the
es ,it
und ,and
der ,the
wir ,we
was ,What
zu ,to
er ,he
ein ,a
in ,in
ja ,Yes
mir ,me
mit ,with
wie ,How
den ,the
mich ,me
auf ,on
dass ,that
aber ,but
eine ,one
so ,so
hat ,has
hier ,here
haben ,have
für ,for
sind ,are
war ,was
von ,from
wenn ,if
dich ,you
ihr ,her
nein ,no
habe ,have
an ,at
bin ,am
noch ,still
nur ,only
da ,there
dir ,you
sich ,itself
einen ,a
uns ,us
hast ,have
dem ,the
kann ,can
gut ,good
auch ,also
schon ,already
als ,as
sein ,be
mal ,just
jetzt ,now
ihn ,him
dann ,then
aus ,out of
meine ,mine
um ,around
im ,in the
wird ,becomes
mein ,my
